RBD,ESTABLECIMIENTO,COMUNA,DC_TOT,MAT_TOTAL,RAZON_DOC_EST
991,ESCUELA PARTICULAR QUEBRADA EL PERAL,4201,1,2,0.5
993,ESCUELA PARTICULAR CANELILLO ALTO,4201,1,14,0.07142857142857142
994,ESCUELA PARTICULAR RINCON DEL ROMERO,4201,2,3,0.6666666666666666
995,ESCUELA PARTICULAR CAREN,4201,6,32,0.1875
996,ESCUELA PARTICULAR EL LANCO,4201,1,2,0.5
998,ESCUELA PARTICULAR ILTA,4201,2,7,0.2857142857142857
999,ESCUELA PARTICULAR 18 DE SEPTIEMBRE,4201,1,5,0.2
1001,ESCUELA PARTICULAR HERMINIA RAMOS,4201,1,1,1.0
1002,ESCUELA PARTICULAR EL SOCAVON,4201,1,6,0.16666666666666666
1004,ESCUELA PARTICULAR LA CAPILLA,4201,3,10,0.3
1005,ESCUELA PARTICULAR RINCON DE TUNGA,4201,2,2,1.0
1006,ESCUELA MANUEL JOSE IRARRAZAVAL,4201,6,46,0.13043478260869565
1008,ESCUELA PARTICULAR QUILLAICILLO,4201,1,4,0.25
1010,ESCUELA PARTICULAR CUYUNTAGUA,4201,2,4,0.5
1011,ESCUELA PARTICULAR MACUCO,4201,1,1,1.0
1013,LICEO DE SALAMANCA,4204,30,404,0.07425742574257425
1014,ESCUELA MATILDE SALAMANCA,4204,34,303,0.11221122112211221
1015,ESCUELA BASICA DIAGUITAS DE CHALINGA,4204,19,258,0.07364341085271318
1016,ESCUELA TRANQUILLA,4204,14,105,0.13333333333333333
1017,ESCUELA BASICA BERTA HIDALGO BARAHONA,4204,14,94,0.14893617021276595
1018,ESCUELA EL TAMBO,4204,12,73,0.1643835616438356
1019,ESCUELA BASICA CHILLEPIN,4204,18,187,0.0962566844919786
1020,ESCUELA BASICA GUISELA GAMBOA SALINAS,4204,17,143,0.11888111888111888
1021,ESCUELA ZAPALLAR,4204,1,3,0.3333333333333333
1022,ESCUELA COIRON,4204,8,64,0.125
1027,ESCUELA BASICA QUELEN BAJO,4204,6,19,0.3157894736842105
1030,ESC.BASICA GUILLERMO BARRIOS VARGAS,4204,3,18,0.16666666666666666
1031,ESCUELA BASICA JULIO ECHAVARRIA,4204,11,64,0.171875
1032,ESCUELA BASICA SAN AGUSTIN,4204,6,22,0.2727272727272727
1033,ESCUELA BASICA PANGUESILLO,4204,12,85,0.1411764705882353
1034,ESCUELA LOS CORRALES,4204,7,47,0.14893617021276595
1036,COLEGIO PARTICULAR SAN FRANCISCO DE ASIS,4204,58,1099,0.052775250227479524
1037,ESCUELA PARTICULAR HUANQUE,4204,2,7,0.2857142857142857
1038,ESCUELA PARTICULAR EL PALQUIAL,4204,2,8,0.25
1040,ESCUELA PARTICULAR LAS JARILLAS,4204,1,6,0.16666666666666666
1041,ESCUELA PARTICULAR CAJON DE QUELEN,4204,4,26,0.15384615384615385
1042,ESCUELA MUNICIPAL COLLIGUAY,4204,4,10,0.4
1044,ESCUELA PARTICULAR MANQUEHUA,4204,1,1,1.0
1045,ESCUELA PARTICULAR PUNTA NUEVA,4204,1,9,0.1111111111111111
1046,ESCUELA PARTICULAR PLANTA PELADEROS,4204,2,15,0.13333333333333333
1047,ESCUELA PARTICULAR VALLE CAMISAS,4204,1,13,0.07692307692307693
1048,LICEO NICOLAS FEDERICO LOHSE VARGAS,4203,37,655,0.05648854961832061
1049,COLEGIO DIEGO DE ALMAGRO,4203,43,710,0.06056338028169014
1050,ESCUELA BASICA ERCOLE BENCINI,4203,21,247,0.08502024291497975
1051,ESCUELA BASICA TERESA CANNON DE B.,4203,27,320,0.084375
1052,ESCUELA BASICA PABLO BARRIOLHET,4203,16,163,0.09815950920245399
1053,ESCUELA BASICA FORJADORES DE CHILE,4203,8,36,0.2222222222222222
1055,ESCUELA LOS MAQUIS,4203,5,16,0.3125
1059,ESCUELA CLARA VIAL ORREGO,4203,17,142,0.11971830985915492
1061,ESCUELA TILAMA,4203,4,4,1.0
1062,ESC.PDTE.FEDERICO ERRAZURIZ ECHAURREN,4203,3,5,0.6
1063,ESCUELA,4203,2,7,0.2857142857142857
1064,ESCUELA BASICA EL QUELON,4203,3,3,1.0
1065,ESCUELA BASICA EL MANZANO,4203,4,9,0.4444444444444444
1066,ESCUELA PARTICULAR DIVINA PROVIDENCIA,4203,56,814,0.0687960687960688
1068,ESCUELA PARTICULAR CULIMO,4203,1,6,0.16666666666666666
1069,ESCUELA PARTICULAR MINA LAS VACAS,4203,1,5,0.2
1071,ESCUELA PARTICULAR EL ROMERO,4203,1,6,0.16666666666666666
1072,ESCUELA PARTICULAR INFIERNILLO,4203,5,31,0.16129032258064516
1076,ESCUELA PARTICULAR MAIMALICAN,4203,1,2,0.5
1077,ESCUELA BASICA HECTOR JORQUERA VALENCIA,4202,27,374,0.07219251336898395
1078,ESCUELA BASICA JUAN ANTONIO RIOS,4202,20,131,0.15267175572519084
1082,ESC.BASICA MERCEDES MARIN DEL SOLAR,4202,1,4,0.25
1083,ESCUELA BASICA CARQUINDANO,4202,1,6,0.16666666666666666
1084,ESCUELA BASICA JABONERIA,4202,1,3,0.3333333333333333
1087,ESCUELA BASICA CANELA ALTA,4202,24,299,0.0802675585284281
